scale,n,mean,sd
TOT_raw,181,91.43,13.5
SOC_raw,181,16.12,4.53
VIS_raw,181,20.73,4.15
HEA_raw,181,14.7,3.23
TOU_raw,181,14.6,2.85
TS_raw,181,11.56,2.58
BOD_raw,181,14.72,3.05
BAL_raw,181,15.12,3.49
PLA_raw,181,18.18,7.09
