data,age_range,n,median,mean,sd,ES,group
Qual,3.5 to 6 mo,50,89,89.8,11.79,NA,1
Qual,7 to 10.5 mo,30,88.5,88.17,7.81,-0.17,2
SM,3.5 to 6 mo,103,90,91.39,13.01,NA,1
SM,7 to 10.5 mo,117,86,86.29,12.39,-0.4,2
