age_range,n,median,mean,sd,ES
03.5 to 6 mo,143,89,91.34,13.17,NA
07 to 10.5 mo,149,88,89.1,13.7,-0.17
09.5 to 20 mo,280,89,90.65,15.83,0.1
21 to 31.5 mo,194,83,84.97,13.95,-0.38
