scale,n,mean,sd
VIS_raw,127,19.73,4.79
HEA_raw,127,14.43,3.04
TOU_raw,127,14.61,2.9
TS_raw,127,12.23,2.54
BOD_raw,127,14.84,3.21
BAL_raw,127,13.86,3.25
TOT_raw,127,89.7,13.97
PLA_raw,127,15.92,4.68
SOC_raw,127,14.71,4.24
