scale,n,mean,sd
TOT_raw,689,85.19,20.31
SOC_raw,689,16.74,4.42
VIS_raw,689,13.98,4.07
HEA_raw,689,15.23,4.66
TOU_raw,689,14.64,3.81
TS_raw,689,15.29,4.67
BOD_raw,689,12.96,3.53
BAL_raw,689,13.1,3.86
PLA_raw,689,14.64,4.48
