scale,n,mean,sd
TOT_raw,461,72.33,15.2
SOC_raw,461,16.08,5.59
VIS_raw,461,13.1,3.43
HEA_raw,461,12.36,3.17
TOU_raw,461,11.57,2.53
TS_raw,461,11.14,2.43
BOD_raw,461,12.2,3.34
BAL_raw,461,11.96,2.79
PLA_raw,461,13.34,4.24
