age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
5 to 8 years,459,80.22,16.26,NA,145,84.8,17.75,NA,-4.58,-0.27
9 to 12 years,339,75.79,17.77,-0.26,156,83.6,16.79,-0.07,-7.81,-0.45
