scale,n,mean,sd
TOT_raw,633,72.03,14.84
SOC_raw,633,16.06,5.48
VIS_raw,633,13,3.34
HEA_raw,633,12.24,3.03
TOU_raw,633,11.52,2.45
TS_raw,633,11.15,2.39
BOD_raw,633,12.18,3.3
BAL_raw,633,11.94,2.76
PLA_raw,633,13.28,4.23
