T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,172--240,32--40,32--40,36--40,32--40,32--40,31--40,36--40,35--40
74,166--171,-,31,35,31,31,29--30,34--35,34
73,162--165,-,30,34,-,30,28,33,33
72,158--161,30--31,29,33,30,-,-,31--32,31--32
71,155--157,29,28,32,29,29,25--27,30,30
70,152--154,-,27,31,28,28,24,29,29
69,148--151,28,26,-,-,27,23,28,28
68,145--147,27,-,30,27,-,-,27,27
67,141--144,-,25,29,26,26,22,26,-
66,138--140,26,24,28,25,25,21,25,26
65,134--137,25,23,27,-,-,20,-,25
64,131--133,-,-,-,24,24,-,24,24
63,128--130,24,22,26,-,-,19,23,23
62,125--127,-,21,25,23,23,18,22,-
61,122--124,23,-,-,22,-,-,-,22
60,120--121,-,20,24,-,22,17,21,21
59,117--119,22,-,23,21,21,-,20,-
58,115--116,-,19,-,-,-,16,-,20
57,112--114,21,-,22,20,20,-,19,19
56,110--111,-,18,21,-,-,-,-,-
55,107--109,20,-,-,19,19,15,18,18
54,105--106,-,17,20,-,-,-,-,-
53,103--104,19,-,-,18,-,14,17,17
52,101--102,-,16,19,-,18,-,-,-
51,98--100,18,-,-,17,-,-,16,16
50,96--97,-,15,18,-,17,13,-,-
49,94--95,-,-,-,-,-,-,15,-
48,92--93,17,-,17,16,16,-,-,15
47,91,-,14,-,-,-,-,-,-
46,89--90,16,-,16,-,-,12,14,14
45,87--88,-,-,-,15,15,-,-,-
44,85--86,-,13,15,-,-,-,-,-
43,83--84,15,-,-,14,14,-,13,13
42,82,-,-,-,-,-,11,-,-
41,80--81,-,-,14,-,-,-,-,-
40,79,14,12,-,-,13,-,12,12
39,77--78,-,-,13,13,-,-,-,-
38,75--76,-,-,-,-,-,-,-,-
37,74,13,11,-,-,12,10,-,-
36,73,-,-,12,12,-,-,11,11
35,71--72,-,-,-,-,-,-,-,-
34,70,12,-,-,-,-,-,-,-
33,69,-,-,11,-,11,-,-,10
32,67--68,-,10,-,11,-,-,10,-
31,66,-,-,-,-,-,-,-,-
30,65,11,-,-,-,10,-,-,-
29,64,-,-,10,-,-,-,-,-
28,62--63,-,-,-,10,-,-,-,-
27,61,-,-,-,-,-,-,-,-
26,60,10,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
