mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,21.00 to 30.99 years,185,82.48,17.27,,-0.09
"",31.00 to 40.99 years,181,81.65,14.66,-0.05,-0.13
"",41.00 to 50.99 years,106,85.16,23.47,0.18,0.04
"",51.00 to 64.99 years,81,91.27,28.28,0.24,0.34
"",65.00 to 99.99 years,51,88.37,24.88,-0.11,0.2
Gender,Male,274,81.17,18.28,,-0.16
"",Female,330,87.04,21.82,0.29,0.13
SES,Did not complete high school (no diploma),28,89.43,34.36,,0.25
"",High school graduate (including GED),126,92.2,27.3,0.09,0.38
"",Some college or associate degree,146,82.54,18.52,-0.42,-0.09
"",Bachelor's degree or higher,304,81.55,14.86,-0.06,-0.14
Ethnicity,Hispanic,103,82.37,17.96,,-0.1
"",Asian,39,83.92,18.27,0.09,-0.02
"",Black,83,98.81,35.17,0.56,0.7
"",White,350,81.95,14.87,-0.67,-0.12
"",AmericanIndAlaskanNat,2,75.5,9.19,-0.54,-0.43
"",NativeHawPacIsl,2,76.5,17.68,0.07,-0.38
"",MultiRacial,21,84.05,18.36,0.42,-0.02
"",Other,4,64,3.56,-1.83,-0.99
Region,northeast,84,81.4,14.01,,-0.15
"",midwest,107,96.1,32.04,0.64,0.57
"",south,212,81.6,15.86,-0.61,-0.14
"",west,200,82.15,16.77,0.03,-0.11
