age_range,n,median,mean,sd,ES
21.00 to 30.99 years,196,99,102.09,21.65,NA
31.00 to 40.99 years,217,94,95.79,18.14,-0.32
41.00 to 50.99 years,142,96,100.3,24.84,0.21
51.00 to 64.99 years,116,97,103.11,23.45,0.12
65.00 to 99.99 years,66,103,102.02,22.29,-0.05
