AgeGroup,n,median,mean,sd,ES,group
15.75 to 20.99 years,32,117,121.47,32.06,NA,1
21.00 to 30.99 years,49,127,123.94,27.85,0.08,2
31.00 to 40.99 years,34,99.5,101.53,23.79,-0.87,3
41.00 to 50.99 years,29,102,105.62,25.37,0.17,4
51.00 to 64.99 years,33,95,104,27.72,-0.06,5
65.00 to 99.99 years,21,101,100.71,18.78,-0.14,6
