Variable,Category,n
data,Eng,689
age_range,21.00 to 30.99 years,215
,31.00 to 40.99 years,230
,41.00 to 50.99 years,117
,51.00 to 64.99 years,84
,65.00 to 99.99 years,43
Gender,Male,278
,Female,411
HighestEducation,Did not complete high school (no diploma),26
,High school graduate (including GED),117
,Some college or associate degree,133
,Bachelor's degree or higher,413
Ethnicity,Hispanic,110
,Asian,56
,Black,94
,White,394
,MultiRacial,25
,AmericanIndAlaskanNat,2
,NativeHawPacIsl,3
,Other,5
Region,(missing),1
,northeast,99
,midwest,113
,south,258
,west,218
