scale,n,mean,sd
TOT_raw,480,84.8,21.39
SOC_raw,480,16.9,4.72
VIS_raw,480,13.93,4.23
HEA_raw,480,15.05,4.56
TOU_raw,480,14.37,3.9
TS_raw,480,15.08,4.7
BOD_raw,480,13.06,3.79
BAL_raw,480,13.3,4.23
PLA_raw,480,14.71,4.55
