scale,n,mean,sd
TOT_raw,710,99.77,21.93
SOC_raw,710,18.17,4.4
VIS_raw,710,15.94,4.37
HEA_raw,710,18.62,5.28
TOU_raw,710,17.39,4.42
TS_raw,710,17.44,4.46
BOD_raw,710,13.98,3.99
BAL_raw,710,16.4,4.81
PLA_raw,710,16.59,4.89
