T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,163--240,32--40,40,-,31--40,-,26--40,27--40,-
74,155--162,31,30--39,37--40,-,-,24--25,26,-
73,152--154,-,-,-,29--30,33--40,-,25,-
72,145--151,29--30,27--29,-,27--28,-,23,24,31--40
71,139--144,-,26,31--36,26,30--32,22,23,30
70,136--138,28,25,29--30,25,29,21,22,28--29
69,132--135,27,24,28,24,27--28,20,21,27
68,128--131,26,23,27,23,26,-,20,25--26
67,123--127,-,22,25--26,-,25,19,-,24
66,119--122,25,21,24,22,24,-,19,23
65,116--118,24,-,23,21,23,18,-,22
64,113--115,-,20,22,20,22,-,18,21
63,110--112,23,19,-,-,-,17,17,-
62,107--109,22,-,21,19,21,-,-,20
61,104--106,-,18,20,-,20,16,-,19
60,101--103,21,17,19,18,19,-,16,-
59,99--100,-,-,-,-,-,15,-,18
58,97--98,20,16,18,17,18,-,15,17
57,94--96,-,-,-,-,-,-,-,-
56,92--93,19,-,17,16,17,14,-,16
55,90--91,-,15,-,-,-,-,14,-
54,88--89,18,-,16,-,16,-,-,15
53,87,-,14,-,15,-,13,-,-
52,85--86,17,-,15,-,15,-,13,-
51,83--84,-,-,-,-,-,-,-,14
50,81--82,16,13,-,14,-,-,-,-
49,80,-,-,14,-,14,12,12,-
48,78--79,-,-,-,-,-,-,-,13
47,77,15,-,13,13,-,-,-,-
46,75--76,-,12,-,-,13,-,-,-
45,74,-,-,-,-,-,-,-,12
44,73,14,-,-,-,-,11,11,-
43,72,-,-,12,12,12,-,-,-
42,70--71,-,11,-,-,-,-,-,-
41,69,13,-,-,-,-,-,-,11
40,68,-,-,-,-,-,-,-,-
39,67,-,-,11,-,11,10,10,-
38,66,12,-,-,11,-,-,-,-
37,65,-,10,-,-,-,-,-,-
36,64,-,-,-,-,-,-,-,10
35,63,11,-,-,-,10,-,-,-
34,62,-,-,10,-,-,-,-,-
33,61,-,-,-,10,-,-,-,-
32,60,-,-,-,-,-,-,-,-
31,-,10,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
