T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,164--240,30--40,32--40,36--40,31--40,32--40,28--40,33--40,34--40
74,160--163,29,31,35,29--30,-,27,32,-
73,155--159,-,30,34,-,29--31,26,30--31,31--33
72,152--154,28,29,33,28,-,25,29,30
71,149--151,27,28,32,27,28,24,-,29
70,145--148,-,27,31,-,27,23,28,28
69,142--144,26,26,-,26,-,22,27,27
68,139--141,-,25,30,25,26,21,26,26
67,136--138,25,-,29,-,25,-,25,-
66,134--135,-,24,28,24,-,20,24,25
65,131--133,24,23,-,-,24,19,-,24
64,128--130,-,-,27,23,-,-,23,23
63,125--127,23,22,26,-,23,18,22,-
62,123--124,-,21,25,22,22,-,-,22
61,120--122,22,-,-,-,-,17,21,-
60,119,-,20,24,21,21,-,20,21
59,115--118,21,-,-,-,-,16,-,20
58,113--114,-,19,23,20,20,-,19,-
57,111--112,20,-,22,-,-,-,-,19
56,108--110,-,18,-,19,19,15,18,-
55,106--107,19,-,21,-,-,-,-,18
54,104--105,-,17,-,18,-,14,17,-
53,102--103,-,-,20,-,18,-,-,17
52,100--101,18,16,-,-,-,-,-,-
51,98--99,-,-,19,17,17,-,16,16
50,96--97,17,-,18,-,-,13,-,-
49,94--95,-,15,-,16,16,-,15,-
48,92--93,-,-,-,-,-,-,-,15
47,91,16,-,17,-,-,12,-,-
46,89--90,-,14,-,15,15,-,14,-
45,87--88,-,-,16,-,-,-,-,14
44,85--86,15,-,-,-,-,-,-,-
43,84,-,13,15,14,14,-,13,13
42,82--83,-,-,-,-,-,11,-,-
41,81,14,-,-,-,-,-,-,-
40,79--80,-,12,14,13,13,-,-,-
39,78,-,-,-,-,-,-,12,12
38,76--77,13,-,13,-,-,-,-,-
37,75,-,-,-,-,12,10,-,-
36,73--74,-,11,-,12,-,-,-,11
35,72,-,-,12,-,-,-,11,-
34,71,12,-,-,-,11,-,-,-
33,69--70,-,-,-,-,-,-,-,-
32,68,-,-,11,11,-,-,-,10
31,67,-,10,-,-,-,-,10,-
30,65--66,11,-,-,-,10,-,-,-
29,64,-,-,-,-,-,-,-,-
28,63,-,-,10,10,-,-,-,-
27,62,-,-,-,-,-,-,-,-
26,61,-,-,-,-,-,-,-,-
25,60,10,-,-,-,-,-,-,-
