IDNumber,q0011_0001,q0013_0001,q0015_0001,q0016_0001,q0017_0001,q0019_0001,q0020_0001,q0021_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,TOT_raw
160001,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,22
160004,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,18
160002,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,17
160003,3,3,2,3,1,1,2,3,2,1,2,1,1,3,1,29
160005,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,20
160009,2,2,3,3,2,2,3,2,3,3,1,2,3,2,3,36
160006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
160007,1,1,3,2,1,1,3,1,1,2,1,1,2,1,1,22
160010,1,1,2,2,1,1,2,1,2,1,1,1,1,2,1,20
119009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134030,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,23
134025,2,1,1,2,1,2,1,2,1,2,1,1,1,3,1,22
134026,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,17
134031,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,17
119036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141102,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,18
141134,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141137,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,19
141136,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141149,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,17
141161,3,2,1,1,2,3,1,1,2,1,1,2,1,2,2,25
141163,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,17
141166,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,17
141167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141168,3,2,2,2,2,3,1,2,2,1,1,2,2,3,3,31
141174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141175,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,21
141135,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,18
141145,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,18
141140,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141144,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141139,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141143,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141141,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,18
141147,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
141177,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,22
141184,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,17
144033,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,17
144032,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,20
144031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144030,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,20
144029,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,18
144028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144020,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,17
144019,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144018,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,17
144038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141180,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,22
141179,2,1,4,1,1,1,1,1,1,1,1,2,1,2,1,21
141146,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
119005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141172,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119068,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
119066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16
119065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119051,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,19
141138,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144058,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,18
119076,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,20
119070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141148,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,16
119015,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
119030,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,17
119033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119031,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,17
119032,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,17
119027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
193026,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,18
193025,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,18
193024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16
193023,1,2,1,1,1,2,1,1,1,1,1,2,2,1,3,21
193022,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,19
193021,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,20
193020,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
193018,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,19
189051,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,18
