IDNumber,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,TOT_raw
294023,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
294021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294046,3,1,2,2,2,3,2,2,2,1,2,1,1,1,1,26
294047,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,21
294028,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,20
294029,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
298025,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
298003,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,19
294030,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
294031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294033,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,17
294034,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
294035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
298035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
298036,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,33
298042,3,1,3,3,2,2,1,1,1,1,2,1,1,1,1,24
298034,3,1,2,3,1,1,1,1,1,1,2,1,1,1,1,21
