IDNumber,data,DriveForm,q0133,q0134,q0135,q0136,q0137,q0138,q0139,q0140,q0141,q0142,q0143,q0144,q0145,q0146,q0147,q0148,q0149,q0150,TOT_raw
143001,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
143002,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
143006,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,21
143007,Eng,AdultSR,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,25
143008,Eng,AdultSR,2,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,2,26
143009,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
143027,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
143028,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
143029,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,20
144007,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,20
144008,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,22
144009,Eng,AdultSR,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,1,25
144010,Eng,AdultSR,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,25
144011,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
144012,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
144013,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,22
144014,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,21
144016,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,21
144017,Eng,AdultSR,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,23
144021,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,21
144022,Eng,AdultSR,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21
144023,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,21
144024,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,20
144025,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,20
144035,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
144036,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,21
144037,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
144044,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
144045,Eng,AdultSR,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,2,25
144048,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
144049,Eng,AdultSR,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,20
144050,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,20
144051,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
144052,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
144053,Eng,AdultSR,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,23
144054,Eng,AdultSR,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,24
144055,Eng,AdultSR,2,1,1,2,3,1,1,2,1,3,2,2,2,1,1,2,2,2,31
144056,Eng,AdultSR,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,24
144057,Eng,AdultSR,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,23
144059,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
144060,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
146002,Eng,AdultSR,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,22
146003,Eng,AdultSR,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,24
146004,Eng,AdultSR,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,23
146006,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
169001,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
169002,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
169003,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
169004,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
169006,Eng,AdultSR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,19
169007,Eng,AdultSR,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,22
169008,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,22
169009,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,2,24
169010,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,20
169011,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,21
169012,Eng,AdultSR,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,24
169013,Eng,AdultSR,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,22
169014,Eng,AdultSR,1,2,1,1,1,3,1,2,2,1,1,1,2,2,2,1,1,1,26
169015,Eng,AdultSR,1,2,1,2,1,2,2,2,1,1,1,1,3,1,1,1,3,1,27
169016,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,20
169017,Eng,AdultSR,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,29
169018,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,21
169019,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,22
169021,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,20
169022,Eng,AdultSR,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,26
169023,Eng,AdultSR,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,21
169024,Eng,AdultSR,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,27
169025,Eng,AdultSR,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,21
169050,Eng,AdultSR,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,20
171001,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,20
171002,Eng,AdultSR,1,2,1,1,1,1,3,2,1,3,1,1,1,1,1,1,3,2,27
171004,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,20
171008,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
171009,Eng,AdultSR,2,1,1,1,1,2,3,3,1,1,1,1,1,1,1,2,1,2,26
171010,Eng,AdultSR,2,1,1,1,2,1,1,3,1,1,2,2,1,1,1,2,2,1,26
171011,Eng,AdultSR,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,3,24
171014,Eng,AdultSR,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,23
171015,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
171016,Eng,AdultSR,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,22
171017,Eng,AdultSR,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,22
176001,Eng,AdultSR,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,29
176002,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176004,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176005,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,20
176006,Eng,AdultSR,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,4,2,26
176007,Eng,AdultSR,3,2,2,2,2,1,2,3,1,1,1,1,1,3,1,2,4,3,35
176008,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176010,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176014,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,21
176015,Eng,AdultSR,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,25
176018,Eng,AdultSR,2,3,3,3,3,2,2,4,1,2,3,2,2,2,1,3,4,2,44
176019,Eng,AdultSR,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,3,2,29
176020,Eng,AdultSR,3,2,2,2,3,1,2,4,1,2,1,1,1,2,1,1,2,2,33
176021,Eng,AdultSR,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,20
176022,Eng,AdultSR,2,1,2,2,1,3,1,2,1,1,1,1,1,1,1,2,2,2,27
176023,Eng,AdultSR,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,23
176025,Eng,AdultSR,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,26
176028,Eng,AdultSR,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,22
176034,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176035,Eng,AdultSR,2,2,3,2,3,3,3,2,3,2,3,2,2,1,1,2,4,2,42
176036,Eng,AdultSR,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
176037,Eng,AdultSR,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,4,2,25
176038,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
176039,Eng,AdultSR,2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,27
176040,Eng,AdultSR,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,23
176041,Eng,AdultSR,2,3,3,1,3,1,3,4,1,1,2,2,1,3,1,4,4,3,42
176042,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
176043,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,19
176045,Eng,AdultSR,2,3,1,2,2,1,1,3,1,1,1,2,1,2,1,3,4,2,33
178001,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
178002,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
178003,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
178004,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,21
178005,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
178006,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
178007,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
178009,Eng,AdultSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
178010,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,20
178012,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
178047,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
178048,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,22
178049,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,21
178050,Eng,AdultSR,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,22
178052,Eng,AdultSR,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,23
178053,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
178054,Eng,AdultSR,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,24
178055,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,22
178056,Eng,AdultSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,20
178057,Eng,AdultSR,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,24
178058,Eng,AdultSR,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,20
178059,Eng,AdultSR,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,26
178060,Eng,AdultSR,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,19
178061,Eng,AdultSR,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,21
178062,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,19
178063,Eng,AdultSR,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,26
178064,Eng,AdultSR,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,26
178065,Eng,AdultSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,21
178066,Eng,AdultSR,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,20
178070,Eng,AdultSR,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,23
178071,Eng,AdultSR,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,26
182001,Eng,AdultSR,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
182002,Eng,AdultSR,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,19
182003,Eng,AdultSR,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,3,2,1,26
182004,Eng,AdultSR,2,2,1,2,3,1,1,2,1,1,2,1,2,2,2,2,3,1,31
182005,Eng,AdultSR,2,2,1,2,2,1,1,2,1,2,2,1,4,3,2,4,3,3,38
182006,Eng,AdultSR,2,2,2,2,4,3,2,1,2,2,3,2,1,2,1,4,4,3,42
182007,Eng,AdultSR,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,22
182008,Eng,AdultSR,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,21
182009,Eng,AdultSR,1,1,2,1,1,2,3,4,1,1,2,1,1,1,1,3,3,2,31
182010,Eng,AdultSR,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,22
182011,Eng,AdultSR,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,25
182012,Eng,AdultSR,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,22
182013,Eng,AdultSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19
182014,Eng,AdultSR,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,4,3,28
182015,Eng,AdultSR,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,21
182017,Eng,AdultSR,2,2,1,2,2,4,1,3,1,2,2,1,1,3,1,2,4,3,37
182018,Eng,AdultSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
