IDNumber,q0011_0001,q0012_0001,q0013_0001,q0015_0001,q0016_0001,q0017_0001,q0020_0001,q0021_0001,q0023_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,TOT_raw
160001,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,24
160004,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,18
160002,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,21
160003,3,3,3,2,3,3,3,1,1,1,1,1,1,2,1,29
160005,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,21
160009,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,39
160010,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,25
160007,1,1,1,2,1,4,1,4,4,3,3,1,3,3,3,35
160006,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,17
134025,3,3,3,2,2,1,2,3,1,3,2,2,2,2,2,33
134026,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
134030,4,1,1,1,1,2,1,2,1,2,1,1,1,2,2,23
119009,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,17
134031,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,18
119073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
126404,1,1,1,1,1,2,1,1,2,2,1,2,1,3,1,21
126415,2,2,2,3,1,2,1,1,2,1,2,2,2,2,1,26
126414,1,1,1,2,1,3,3,2,2,3,2,2,2,3,2,30
126417,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,26
126401,2,3,3,2,2,1,2,2,2,3,2,3,3,3,3,36
126402,1,1,1,2,1,2,1,2,2,2,2,1,1,3,1,23
126403,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,31
126420,1,1,1,2,1,2,1,2,2,2,1,2,2,3,2,25
126405,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,20
126416,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,20
126413,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,17
126411,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,21
