IDNumber,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0025_0001,q0029_0001,q0031_0001,TOT_raw
160001,3,2,2,1,1,3,1,1,1,1,2,1,1,2,2,24
160004,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,17
160002,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,16
160003,3,3,3,3,2,2,3,3,3,3,3,1,1,3,2,38
160005,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,24
160009,2,3,2,2,1,2,1,2,1,1,1,3,3,3,3,30
160006,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,16
160007,3,3,2,1,1,3,1,4,1,1,1,3,3,4,3,34
160010,3,3,2,1,1,3,1,2,1,1,2,2,2,3,3,30
119035,1,1,1,2,1,2,1,2,1,2,2,3,2,2,2,25
119033,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,17
119030,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,22
119051,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,19
119009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134025,1,2,2,2,2,1,1,1,2,3,3,2,2,1,2,27
134026,1,2,1,1,1,2,1,1,1,1,2,1,2,3,2,22
134030,1,2,1,2,1,2,1,1,1,1,3,2,2,3,2,25
119061,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,18
119060,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,17
119073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141102,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,21
141167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141168,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,17
141166,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141161,2,2,2,2,1,2,1,1,1,1,1,2,1,1,3,23
141149,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141143,1,2,2,2,1,1,1,1,1,1,1,2,2,3,2,23
141142,1,1,2,2,1,2,1,2,1,2,1,2,2,1,1,22
141137,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,18
141139,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,17
141141,2,2,3,2,2,1,3,2,3,3,3,1,2,1,1,31
141147,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,19
141136,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,20
141175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141174,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,19
141177,1,1,2,3,2,1,2,2,3,1,3,1,1,1,1,25
144031,2,2,2,1,1,2,1,3,1,1,1,2,1,2,2,24
144030,1,1,2,1,2,1,1,3,2,2,2,2,1,1,1,23
144027,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,20
144033,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,20
141135,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,23
144018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144019,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,16
141140,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,18
141146,2,2,2,2,1,1,2,1,3,2,2,1,1,1,1,24
144028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141145,1,1,3,4,1,2,1,1,1,2,2,1,1,1,2,24
141144,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,18
141134,2,2,2,2,1,2,1,1,1,1,1,2,2,2,3,25
144029,2,2,2,2,1,2,1,1,2,1,2,1,1,1,2,23
141171,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,18
141172,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,21
141138,1,1,2,2,1,2,1,2,1,1,2,1,2,2,1,22
144020,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,21
144026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119068,1,1,2,1,1,2,1,1,1,1,1,2,2,3,2,22
119066,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,18
119065,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,18
141179,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,17
141180,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,16
144038,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,20
144046,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,17
144039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144058,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,16
144032,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,19
141184,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,18
119076,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,20
119070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134031,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,18
141148,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,18
132035,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,20
119008,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,19
119015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
193024,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,16
193023,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,18
193022,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,18
193021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
193020,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,17
193017,2,2,2,3,1,1,1,2,2,1,1,1,1,1,1,22
193015,1,1,2,3,1,2,1,1,2,1,2,1,2,2,1,23
193016,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,17
193019,1,1,2,2,1,1,1,1,1,1,1,2,1,3,1,20
193025,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,17
193026,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
193018,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,27
193070,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,18
193069,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,18
193068,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,16
141246,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,21
141249,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,17
141248,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,19
141247,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,18
141291,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,23
141254,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,17
141253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141257,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,19
141256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141259,1,1,2,2,1,2,1,2,1,1,1,3,2,2,2,24
141251,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141255,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,16
141252,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141250,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,18
141360,3,3,2,1,1,4,1,2,2,2,2,2,1,1,3,30
141261,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,18
141262,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,16
141263,1,1,2,2,1,2,1,1,1,2,2,1,2,1,3,23
141264,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,37
141258,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,16
119118,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,17
119125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119126,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
119127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119129,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
119130,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,18
119131,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,20
119132,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
119124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294014,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,19
294012,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,18
294001,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,17
294015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294017,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,17
294018,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,17
294019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
294020,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,18
294013,3,3,3,2,2,3,2,2,2,1,2,2,2,2,3,34
298026,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,22
298028,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,18
298027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
298014,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,23
298029,2,1,2,3,2,3,2,1,4,3,2,2,3,3,4,37
298046,4,4,3,2,3,2,4,1,4,2,2,3,3,3,2,42
298045,3,2,2,3,1,3,2,2,3,2,3,3,3,4,2,38
298047,3,4,1,1,1,2,1,1,1,1,1,1,1,2,1,22
