IDNumber,data,DriveForm,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,TOT_raw
105020,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105020,Eng,TeenHome,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,20
105020,Eng,TeenHome,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,20
105034,Eng,TeenSR,3,2,2,1,2,2,1,2,1,2,3,3,1,1,1,2,3,2,34
105034,Eng,TeenHome,3,2,2,2,2,1,1,2,1,2,3,3,1,2,1,3,2,3,36
105034,Eng,TeenHome,3,2,2,2,2,1,1,2,1,2,3,3,1,2,1,3,2,3,36
105058,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105058,Eng,TeenHome,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
105058,Eng,TeenHome,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
105060,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105060,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105065,Eng,TeenSR,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,20
105065,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105065,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
105110,Eng,TeenSR,1,2,2,2,4,2,3,2,2,1,3,2,2,3,2,1,3,4,41
105110,Eng,TeenHome,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,22
105110,Eng,TeenHome,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,22
106009,Eng,TeenSR,1,2,2,1,2,3,4,4,2,1,1,1,1,1,1,1,2,2,32
106016,Eng,TeenSR,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,23
119053,Eng,TeenSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
119053,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,23
119053,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,23
119054,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
119054,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119054,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119074,Eng,TeenSR,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,21
119074,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20
119074,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20
119133,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
119133,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,19
119133,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,19
119135,Eng,TeenSR,2,2,2,2,2,1,1,2,2,3,2,2,1,1,2,2,2,2,33
119135,Eng,TeenHome,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36
119135,Eng,TeenHome,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36
120017,Eng,TeenHome,1,1,1,1,1,3,1,3,1,1,1,1,4,1,1,2,1,1,26
120017,Eng,TeenHome,1,1,1,1,1,3,1,3,1,1,1,1,4,1,1,2,1,1,26
126009,Eng,TeenSR,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,22
126009,Eng,TeenHome,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
126009,Eng,TeenHome,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
126064,Eng,TeenSR,1,2,2,1,2,1,2,4,1,1,1,1,1,1,1,1,2,1,26
126064,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20
126064,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,20
126096,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,19
126096,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,19
126191,Eng,TeenSR,3,1,2,3,1,2,1,3,2,1,1,2,1,2,1,1,1,2,30
126191,Eng,TeenHome,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,26
126191,Eng,TeenHome,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,26
126227,Eng,TeenSR,1,3,1,1,1,2,1,2,2,1,1,1,3,1,1,2,4,2,30
126271,Eng,TeenSR,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,22
126271,Eng,TeenHome,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,26
126271,Eng,TeenHome,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,26
126310,Eng,TeenSR,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,20
129006,Eng,TeenSR,1,1,3,3,2,1,2,2,3,3,4,4,3,2,1,4,2,3,44
129006,Eng,TeenHome,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,28
129006,Eng,TeenHome,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,28
129007,Eng,TeenSR,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,24
129007,Eng,TeenHome,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,23
129007,Eng,TeenHome,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,23
132018,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
132018,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
132018,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
132019,Eng,TeenSR,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,22
132020,Eng,TeenSR,3,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,4,4,32
132021,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,19
132023,Eng,TeenSR,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,21
132023,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
132023,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
132024,Eng,TeenSR,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,25
132036,Eng,TeenSR,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,21
132036,Eng,TeenHome,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,22
132036,Eng,TeenHome,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,22
132037,Eng,TeenHome,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,28
132037,Eng,TeenHome,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,28
132057,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
132057,Eng,TeenHome,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,23
132057,Eng,TeenHome,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,23
133063,Eng,TeenHome,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,20
133063,Eng,TeenHome,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,20
133068,Eng,TeenHome,3,1,1,2,2,1,1,1,1,2,3,1,2,1,1,2,1,2,28
133068,Eng,TeenHome,3,1,1,2,2,1,1,1,1,2,3,1,2,1,1,2,1,2,28
133071,Eng,TeenHome,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,22
133071,Eng,TeenHome,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,22
137032,Eng,TeenSR,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,24
137032,Eng,TeenHome,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,27
137032,Eng,TeenHome,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,27
141036,Eng,TeenSR,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,20
141036,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,21
141036,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,21
141040,Eng,TeenSR,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,30
141040,Eng,TeenHome,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,26
141040,Eng,TeenHome,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,26
141042,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
141042,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141042,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141045,Eng,TeenSR,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,3,2,26
141045,Eng,TeenHome,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,30
141045,Eng,TeenHome,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,30
141047,Eng,TeenSR,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,21
141047,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141047,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141049,Eng,TeenSR,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,22
141049,Eng,TeenHome,2,1,2,2,2,1,2,2,1,1,2,1,1,2,1,2,3,2,30
141049,Eng,TeenHome,2,1,2,2,2,1,2,2,1,1,2,1,1,2,1,2,3,2,30
141051,Eng,TeenHome,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,3,2,2,29
141051,Eng,TeenHome,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,3,2,2,29
141055,Eng,TeenSR,3,2,1,2,2,1,2,1,1,1,1,1,3,1,1,2,4,2,31
141055,Eng,TeenHome,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,25
141055,Eng,TeenHome,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,25
141056,Eng,TeenSR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20
141056,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141056,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141098,Eng,TeenSR,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,3,1,26
141098,Eng,TeenHome,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,29
141098,Eng,TeenHome,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,29
141105,Eng,TeenSR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
141105,Eng,TeenHome,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,24
141105,Eng,TeenHome,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,24
141126,Eng,TeenSR,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,3,1,24
141126,Eng,TeenHome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,19
