IDNumber,q0011_0001,q0013_0001,q0014_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0022_0001,q0024_0001,q0025_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,TOT_raw
160001,2,2,2,3,2,3,2,2,1,2,3,3,3,2,2,34
160004,2,2,1,3,1,2,1,1,1,2,2,2,3,3,1,27
160002,1,2,1,3,1,3,1,1,1,2,2,2,2,2,2,26
160003,3,3,3,3,2,3,3,1,1,3,3,2,3,3,2,38
160005,2,2,2,3,2,2,1,1,1,3,3,2,2,2,2,30
160009,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,38
160006,2,1,1,2,2,3,1,1,1,1,2,1,2,2,1,23
160007,1,1,1,2,3,2,3,3,3,1,2,1,2,1,1,27
160010,2,2,1,3,2,3,2,2,1,1,2,1,3,2,1,28
119031,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,20
119030,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,19
119032,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,18
119033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119035,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
119051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119009,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,16
134025,2,2,1,3,1,3,1,1,1,2,1,1,1,2,1,23
134030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
134031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141102,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,17
141134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141135,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,17
141136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141137,1,2,1,3,1,2,1,2,2,2,2,1,1,2,1,24
141139,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,22
141140,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,20
141141,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,23
141142,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,17
141143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141145,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,16
141146,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,16
141147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141171,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,17
141172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144033,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144032,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,22
144031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144030,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,17
144029,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16
144028,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144027,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144026,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,19
144020,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,23
144019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
144038,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,19
144039,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,22
144046,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141161,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,18
141168,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,24
141167,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,17
141149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141177,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,21
141184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141179,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,30
141180,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,17
119005,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
119068,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,18
119066,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
119065,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
144058,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,17
119076,2,2,2,3,1,1,1,1,1,1,1,2,1,1,2,22
119070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
141138,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,18
132035,2,2,2,1,1,1,3,3,1,2,3,3,3,3,3,33
119008,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,19
119027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
119040,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,16
119060,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,18
119061,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19
119038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
193021,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,27
