TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
18,194,28.5714,28.5714,,679,20,21.47,4.61
19,123,18.1149,46.6863,,,,,
20,89,13.1075,59.7938,,,,,
21,53,7.8056,67.5994,,,,,
22,39,5.7437,73.3432,,,,,
23,29,4.271,77.6141,,,,,
24,28,4.1237,81.7378,,,,,
25,24,3.5346,85.2725,,,,,
26,21,3.0928,88.3652,,,,,
27,13,1.9146,90.2798,cutoff,,,,
28,17,2.5037,92.7835,,,,,
29,5,0.7364,93.5199,,,,,
30,6,0.8837,94.4035,,,,,
31,3,0.4418,94.8454,,,,,
32,7,1.0309,95.8763,,,,,
33,5,0.7364,96.6127,,,,,
34,2,0.2946,96.9072,,,,,
35,5,0.7364,97.6436,,,,,
36,2,0.2946,97.9381,,,,,
37,3,0.4418,98.38,,,,,
38,2,0.2946,98.6745,,,,,
40,4,0.5891,99.2636,,,,,
41,2,0.2946,99.5582,,,,,
44,3,0.4418,100,,,,,
