TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
15,52,25,25,,208,19,20.9,6.17
16,18,8.6538,33.6538,,,,,
17,14,6.7308,40.3846,,,,,
18,16,7.6923,48.0769,,,,,
19,9,4.3269,52.4038,,,,,
20,9,4.3269,56.7308,,,,,
21,14,6.7308,63.4615,,,,,
22,6,2.8846,66.3462,,,,,
23,8,3.8462,70.1923,,,,,
24,10,4.8077,75,,,,,
25,10,4.8077,79.8077,,,,,
26,7,3.3654,83.1731,,,,,
27,3,1.4423,84.6154,,,,,
28,2,0.9615,85.5769,,,,,
29,6,2.8846,88.4615,,,,,
30,3,1.4423,89.9038,cutoff,,,,
31,5,2.4038,92.3077,,,,,
32,3,1.4423,93.75,,,,,
33,1,0.4808,94.2308,,,,,
34,2,0.9615,95.1923,,,,,
35,2,0.9615,96.1538,,,,,
36,3,1.4423,97.5962,,,,,
37,2,0.9615,98.5577,,,,,
38,1,0.4808,99.0385,,,,,
39,2,0.9615,100,,,,,
