T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,153--240,-,28--40,26--40,25--40,27--40,30--40,22--40,28--40
74,-,35--40,-,-,-,-,-,-,-
73,137--152,-,-,-,-,-,28--29,-,-
72,132--136,-,-,-,23--24,-,-,-,-
71,-,-,25--27,-,-,-,-,-,24--27
70,-,-,-,-,22,-,-,-,-
69,-,-,-,-,21,22--26,25--27,-,23
68,121--131,29--34,23--24,-,-,-,24,-,22
67,-,28,-,-,20,21,-,18--21,-
66,117--120,27,-,-,-,-,-,-,-
65,-,26,-,20--25,19,20,-,-,-
64,-,-,21--22,-,-,-,-,17,20--21
63,109--116,25,20,19,18,19,-,-,-
62,106--108,24,-,-,-,-,20--23,16,19
61,103--105,23,19,18,-,18,-,-,-
60,101--102,-,-,-,17,-,19,-,18
59,100,22,18,17,-,-,18,15,-
58,-,21,-,-,16,-,-,-,17
57,95--99,-,17,-,-,-,17,-,-
56,-,20,-,16,15,16--17,-,14,16
55,91--94,-,16,-,-,-,16,-,-
54,90,19,-,15,-,-,-,-,-
53,87--89,18,-,-,14,15,15,-,15
52,85--86,-,15,-,-,-,-,13,-
51,83--84,17,-,14,-,14,-,-,14
50,81--82,-,14,-,13,-,14,-,-
49,79--80,16,-,-,-,-,-,-,-
48,78,-,-,13,-,13,13,12,13
47,77,15,13,-,12,-,-,-,-
46,74--76,-,-,-,-,-,-,-,-
45,73,-,-,12,-,12,12,11,12
44,71--72,14,12,-,11,-,-,-,-
43,69--70,-,-,-,-,-,11,-,-
42,68,13,-,11,-,-,-,-,-
41,66--67,-,11,-,-,11,-,-,11
40,65,-,-,-,10,-,10,10,-
39,64,12,-,-,-,-,-,-,-
38,62--63,-,10,10,-,10,-,-,10
37,61,11,-,-,-,-,-,-,-
36,60,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,10,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
