T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,135--240,27--40,27--40,28--40,23--40,27--40,20--40,24--40,27--40
74,-,-,-,27,-,-,19,-,26
73,131--134,26,26,-,22,26,-,23,25
72,128--130,-,25,26,-,-,-,-,-
71,125--127,25,-,-,21,25,18,22,24
70,123--124,-,24,25,-,24,-,-,-
69,122,24,-,24,-,-,-,21,23
68,119--121,-,23,-,20,23,17,-,-
67,117--118,23,-,23,-,-,-,-,22
66,115--116,-,22,-,19,22,-,20,-
65,113--114,22,-,22,-,-,16,-,21
64,111--112,-,21,-,-,21,-,19,-
63,109--110,-,-,21,18,-,-,-,20
62,107--108,21,20,-,-,20,-,-,-
61,105--106,-,-,20,17,-,15,18,19
60,103--104,20,-,-,-,19,-,-,-
59,101--102,-,19,-,-,-,-,-,18
58,100,-,-,19,16,-,14,17,-
57,98--99,19,18,-,-,18,-,-,-
56,96--97,-,-,18,-,-,-,-,17
55,95,18,17,-,15,17,-,16,-
54,93--94,-,-,17,-,-,13,-,16
53,91--92,-,-,-,-,-,-,-,-
52,90,17,16,-,-,16,-,15,-
51,88--89,-,-,16,14,-,-,-,15
50,87,-,-,-,-,-,12,-,-
49,85--86,16,15,-,-,15,-,14,-
48,84,-,-,15,13,-,-,-,14
47,82--83,-,-,-,-,-,-,-,-
46,81,-,14,-,-,14,-,-,-
45,79--80,15,-,14,-,-,11,13,13
44,78,-,-,-,12,-,-,-,-
43,77,-,13,-,-,13,-,-,-
42,75--76,14,-,13,-,-,-,-,-
41,74,-,-,-,-,-,-,12,12
40,73,-,-,-,11,12,10,-,-
39,72,-,12,12,-,-,-,-,-
38,70--71,13,-,-,-,-,-,-,11
37,69,-,-,-,-,-,-,11,-
36,68,-,-,-,-,11,-,-,-
35,67,-,11,11,10,-,-,-,-
34,66,12,-,-,-,-,-,-,10
33,65,-,-,-,-,-,-,-,-
32,63--64,-,-,-,-,10,-,10,-
31,62,-,10,10,-,-,-,-,-
30,61,11,-,-,-,-,-,-,-
29,60,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,10,-,-,-,-,-,-,-
