T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,157--240,35--40,32--40,28--40,-,25--40,34--40,28--40,33--40
72,-,-,-,-,26--40,-,-,-,-
71,133--156,31--34,30--31,24--27,-,23--24,27--33,24--27,-
70,130--132,-,-,-,22--25,-,23--26,23,32
69,123--129,29--30,28--29,-,-,20--22,-,22,31
68,121--122,28,-,21--23,21,-,21--22,-,-
67,119--120,26--27,-,-,-,18--19,-,21,30
66,114--118,25,27,-,20,-,20,20,-
65,110--113,-,-,20,-,16--17,-,-,29
64,106--109,24,26,-,19,-,19,19,-
63,104--105,23,-,19,-,15,-,-,28
62,103,21--22,-,18,18,-,18,-,-
61,102,-,-,-,-,14,-,18,27
60,101,20,25,17,-,-,-,-,26
59,99--100,19,-,-,17,13,17,-,25
58,98,-,-,16,-,-,-,17,24
57,96--97,18,24,-,16,-,16,-,23
56,95,-,-,-,-,12,-,-,22
55,93--94,17,23,-,-,-,-,16,21
54,92,-,-,15,-,-,15,-,20
53,91,-,-,-,15,-,-,-,19
52,90,16,22,-,-,11,-,15,18
51,-,-,-,-,-,-,-,-,17
50,89,15,21,14,-,-,14,-,16
49,88,-,-,-,14,-,-,14,15
48,-,14,20,-,-,-,-,-,14
47,87,-,-,-,-,-,-,-,13
46,-,-,-,13,-,-,13,13,12
45,86,13,19,-,13,-,-,-,-
44,85,-,-,-,-,-,-,-,11
43,84,-,18,-,-,10,-,12,-
42,83,12,-,-,-,-,-,-,-
41,81--82,-,17,12,12,-,-,-,-
40,80,-,-,-,-,-,12,-,-
39,78--79,11,16,-,-,-,-,11,10
38,77,-,-,-,-,-,-,-,-
37,76,-,15,-,11,-,-,-,-
36,75,-,-,11,-,-,11,-,-
35,73--74,-,14,-,-,-,-,-,-
34,72,-,-,-,-,-,-,10,-
33,-,10,-,-,-,-,-,-,-
32,69--71,-,13,-,-,-,-,-,-
31,-,-,-,10,10,-,10,-,-
30,65--68,-,11--12,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,63--64,-,-,-,-,-,-,-,-
26,-,-,10,-,-,-,-,-,-
25,60--62,-,-,-,-,-,-,-,-
