T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,136--240,27--40,25--40,24--40,23--40,21--40,24--40,22--40,24--40
74,-,26,24,-,22,20,-,-,-
73,122--135,-,-,-,-,-,23,21,23
72,-,25,23,23,-,-,-,-,-
71,118--121,-,-,-,21,19,22,-,22
70,116--117,24,-,22,-,-,-,20,-
69,114--115,-,22,-,-,-,-,-,21
68,113,23,-,-,20,-,21,-,-
67,111--112,-,21,21,-,18,-,19,20
66,110,22,-,-,-,-,-,-,-
65,108--109,-,-,20,19,-,20,-,-
64,106--107,21,20,-,-,17,-,18,19
63,105,-,-,-,-,-,19,-,-
62,103--104,-,-,19,18,-,-,-,18
61,102,20,19,-,-,16,-,17,-
60,100--101,-,-,-,-,-,18,-,17
59,99,19,-,18,17,-,-,-,-
58,97--98,-,18,-,-,15,-,16,-
57,96,-,-,-,-,-,17,-,16
56,94--95,18,17,17,16,-,-,-,-
55,93,-,-,-,-,-,-,15,15
54,91--92,17,-,16,-,14,-,-,-
53,90,-,16,-,-,-,16,-,-
52,89,-,-,-,15,-,-,-,14
51,87--88,16,-,15,-,-,-,14,-
50,86,-,15,-,-,13,15,-,-
49,84--85,15,-,-,14,-,-,-,13
48,83,-,-,-,-,-,-,13,-
47,82,-,14,14,-,12,14,-,12
46,80--81,14,-,-,13,-,-,-,-
45,79,-,-,-,-,-,-,-,-
44,78,-,-,13,-,-,13,12,11
43,76--77,13,13,-,-,11,-,-,-
42,75,-,-,-,12,-,-,-,-
41,74,-,-,12,-,-,-,-,10
40,72--73,12,12,-,-,-,12,11,-
39,71,-,-,-,-,10,-,-,-
38,70,-,-,-,11,-,-,-,-
37,68--69,11,11,11,-,-,-,-,-
36,67,-,-,-,-,-,11,10,-
35,66,-,-,-,-,-,-,-,-
34,65,10,-,10,10,-,-,-,-
33,64,-,10,-,-,-,-,-,-
32,62--63,-,-,-,-,-,10,-,-
31,61,-,-,-,-,-,-,-,-
30,60,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
